unit,coicop,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
RCH_A_AVG,CP00,AT	2.0 	2.1 	1.7 	2.2 	3.2 	0.4 	1.7 	3.6 	2.6 	2.1 	1.5 	0.8 
RCH_A_AVG,CP00,BE	1.9 	2.5 	2.3 	1.8 	4.5 	0.0 	2.3 	3.4 	2.6 	1.2 	0.5 	0.6 
RCH_A_AVG,CP00,BG	6.1 	6.0 	7.4 	7.6 	12.0 	2.5 	3.0 	3.4 	2.4 	0.4 	-1.6 	-1.1 
RCH_A_AVG,CP00,CH	: 	: 	1.0 	0.8 	2.4 	-0.7 	0.6 	0.1 	-0.7 	0.1 	0.0 	-0.8 
RCH_A_AVG,CP00,CY	1.9 	2.0 	2.2 	2.2 	4.4 	0.2 	2.6 	3.5 	3.1 	0.4 	-0.3 	-1.5 
RCH_A_AVG,CP00,CZ	2.6 	1.6 	2.1 	2.9 	6.3 	0.6 	1.2 	2.2 	3.5 	1.4 	0.4 	0.3 
RCH_A_AVG,CP00,DE	1.8 	1.9 	1.8 	2.3 	2.8 	0.2 	1.1 	2.5 	2.1 	1.6 	0.8 	0.1 
RCH_A_AVG,CP00,DK	0.9 	1.7 	1.8 	1.7 	3.6 	1.0 	2.2 	2.7 	2.4 	0.5 	0.4 	0.2 
RCH_A_AVG,CP00,EA	2.1 	2.2 	2.2 	2.1 	3.3 	0.3 	1.6 	2.7 	2.5 	1.4 	0.4 	0.0 
RCH_A_AVG,CP00,EA18	2.2 	2.2 	2.2 	2.2 	3.3 	0.3 	1.6 	2.7 	2.5 	1.3 	0.4 	0.0 
RCH_A_AVG,CP00,EA19	2.2 	2.2 	2.2 	2.2 	3.3 	0.3 	1.6 	2.7 	2.5 	1.3 	0.4 	0.0 
RCH_A_AVG,CP00,EE	3.0 	4.1 	4.4 	6.7 	10.6 	0.2 	2.7 	5.1 	4.2 	3.2 	0.5 	0.1 
RCH_A_AVG,CP00,EL	3.0 	3.5 	3.3 	3.0 	4.2 	1.3 	4.7 	3.1 	1.0 	-0.9 	-1.4 	-1.1 
RCH_A_AVG,CP00,ES	3.1 	3.4 	3.6 	2.8 	4.1 	-0.2 	2.0 	3.0 	2.4 	1.5 	-0.2 	-0.6 
RCH_A_AVG,CP00,EU	2.0 	2.2 	2.2 	2.3 	3.7 	1.0 	2.1 	3.1 	2.6 	1.5 	0.5 	0.0 
RCH_A_AVG,CP00,EU28	2.3 	2.3 	2.3 	2.4 	3.7 	1.0 	2.1 	3.1 	2.6 	1.5 	0.5 	0.0 
RCH_A_AVG,CP00,FI	0.1 	0.8 	1.3 	1.6 	3.9 	1.6 	1.7 	3.3 	3.2 	2.2 	1.2 	-0.2 
RCH_A_AVG,CP00,FR	2.3 	1.9 	1.9 	1.6 	3.2 	0.1 	1.7 	2.3 	2.2 	1.0 	0.6 	0.1 
RCH_A_AVG,CP00,HR	2.1 	3.0 	3.3 	2.7 	5.8 	2.2 	1.1 	2.2 	3.4 	2.3 	0.2 	-0.3 
RCH_A_AVG,CP00,HU	6.8 	3.5 	4.0 	7.9 	6.0 	4.0 	4.7 	3.9 	5.7 	1.7 	0.0 	0.1 
RCH_A_AVG,CP00,IE	2.3 	2.2 	2.7 	2.9 	3.1 	-1.7 	-1.6 	1.2 	1.9 	0.5 	0.3 	0.0 
RCH_A_AVG,CP00,IS	2.3 	1.4 	4.6 	3.6 	12.8 	16.3 	7.5 	4.2 	6.0 	4.1 	1.0 	0.3 
RCH_A_AVG,CP00,IT	2.3 	2.2 	2.2 	2.0 	3.5 	0.8 	1.6 	2.9 	3.3 	1.2 	0.2 	0.1 
RCH_A_AVG,CP00,LT	1.2 	2.7 	3.8 	5.8 	11.1 	4.2 	1.2 	4.1 	3.2 	1.2 	0.2 	-0.7 
RCH_A_AVG,CP00,LU	3.2 	3.8 	3.0 	2.7 	4.1 	0.0 	2.8 	3.7 	2.9 	1.7 	0.7 	0.1 
RCH_A_AVG,CP00,LV	6.2 	6.9 	6.6 	10.1 	15.3 	3.3 	-1.2 	4.2 	2.3 	0.0 	0.7 	0.2 
RCH_A_AVG,CP00,MT	2.7 	2.5 	2.6 	0.7 	4.7 	1.8 	2.0 	2.5 	3.2 	1.0 	0.8 	1.2 
RCH_A_AVG,CP00,NL	1.4 	1.5 	1.6 	1.6 	2.2 	1.0 	0.9 	2.5 	2.8 	2.6 	0.3 	0.2 
RCH_A_AVG,CP00,NO	0.6 	1.5 	2.4 	0.8 	3.4 	2.3 	2.3 	1.3 	0.4 	2.0 	1.9 	2.0 
RCH_A_AVG,CP00,PL	3.6 	2.2 	1.3 	2.6 	4.2 	4.0 	2.6 	3.9 	3.7 	0.8 	0.1 	-0.7 
RCH_A_AVG,CP00,PT	2.5 	2.1 	3.0 	2.4 	2.7 	-0.9 	1.4 	3.6 	2.8 	0.4 	-0.2 	0.5 
RCH_A_AVG,CP00,RO	11.9 	9.1 	6.6 	4.9 	7.9 	5.6 	6.1 	5.8 	3.4 	3.2 	1.4 	-0.4 
RCH_A_AVG,CP00,RS	: 	: 	: 	5.8 d	11.9 d	8.2 d	6.2 d	11.2 d	7.4 d	7.7 d	2.3 d	1.5 d
RCH_A_AVG,CP00,SE	1.0 	0.8 	1.5 	1.7 	3.3 	1.9 	1.9 	1.4 	0.9 	0.4 	0.2 	0.7 
RCH_A_AVG,CP00,SI	3.7 	2.5 	2.5 	3.8 	5.5 	0.9 	2.1 	2.1 	2.8 	1.9 	0.4 	-0.8 
RCH_A_AVG,CP00,SK	7.5 	2.8 	4.3 	1.9 	3.9 	0.9 	0.7 	4.1 	3.7 	1.5 	-0.1 	-0.3 
RCH_A_AVG,CP00,TR	10.1 d	8.1 d	9.3 d	8.8 d	10.4 d	6.3 d	8.6 d	6.5 d	9.0 d	7.5 d	8.9 d	7.7 d
RCH_A_AVG,CP00,UK	1.3 	2.1 	2.3 	2.3 	3.6 	2.2 	3.3 	4.5 	2.8 	2.6 	1.5 	0.0 
RCH_A_AVG,CP00,US	2.7 d	3.7 d	3.2 d	2.6 d	4.4 d	-0.8 d	2.4 d	3.8 d	2.1 d	1.2 d	1.3 d	-0.7 d
